localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
9768,60,10000,0,0,1740322115,2,"""_coffee""邀请你和""peko""加入了群聊",2025/2/23 22:48,,,
9774,60,49,19,0,1740322199,2,邀请"_coffee"进入你吗,2025/2/23 22:49,_coffee,_coffee,wxid_mibxcixsaom522
9775,60,1,0,1,1740322231,2,到了七集之后,2025/2/23 22:50,斯佩des,斯佩des,wxid_sqq1uil12c3o22
9776,60,1,0,1,1740322339,2,我终于发现里面的我每天在楼道里咬牙切齿，万箭穿心所编织的音乐元素完全沦为了同性关系的陪衬,2025/2/23 22:52,斯佩des,斯佩des,wxid_sqq1uil12c3o22
9777,60,47,0,0,1740322393,2,到了七集,2025/2/23 22:53,_coffee,_coffee,wxid_mibxcixsaom522
9778,60,1,0,1,1740322439,2,几个乐队把我所珍视的音乐元素变成了一个人际关系中微不足道的元素,2025/2/23 22:53,斯佩des,斯佩des,wxid_sqq1uil12c3o22
9779,60,1,0,1,1740322460,2,我太理想化了可能,2025/2/23 22:54,斯佩des,斯佩des,wxid_sqq1uil12c3o22
9780,60,1,0,0,1740322512,2,少女乐队番不等于音乐番??,2025/2/23 22:55,_coffee,_coffee,wxid_mibxcixsaom522
9781,60,1,0,1,1740322527,2,然后我发现我本来能共情，在我校园生活中找到些许影子的人际交往中的情绪变成了精神学病理分析,2025/2/23 22:55,斯佩des,斯佩des,wxid_sqq1uil12c3o22
9782,60,1,0,1,1740322557,2,我这才恍然大悟,2025/2/23 22:55,斯佩des,斯佩des,wxid_sqq1uil12c3o22
9783,60,1,0,0,1740322567,2,你是否在说,2025/2/23 22:56,_coffee,_coffee,wxid_mibxcixsaom522
9784,60,49,5,0,1740322567,2,,2025/2/23 22:56,_coffee,_coffee,wxid_mibxcixsaom522
9785,60,1,0,1,1740322575,2,它包装成严肃的番剧,2025/2/23 22:56,斯佩des,斯佩des,wxid_sqq1uil12c3o22
9786,60,1,0,1,1740322596,2,我本来想像巨人，电锯人一样欣赏,2025/2/23 22:56,斯佩des,斯佩des,wxid_sqq1uil12c3o22
9787,60,1,0,1,1740322624,2,这才发现原来和找乐子的厕纸番一个性质,2025/2/23 22:57,斯佩des,斯佩des,wxid_sqq1uil12c3o22
9789,60,10000,0,0,1740327173,2,"""peko""修改群名为“??”",2025/2/24 0:12,,,
9791,60,1,0,0,1740359825,2,练琴,2025/2/24 9:17,peko,peko,wxid_egsr2onllyon22
9792,60,10000,4,0,1740359831,2,"""peko"" 拍了拍我",2025/2/24 9:17,peko,peko,wxid_egsr2onllyon22
