localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
13272,12,1,0,0,1723195855,,必须发个高p的,2024/8/9 17:30,耿一文,枭河,wxid_wnmoz2mak6xy12
13273,12,47,0,0,1723195863,,<msg><emoji fromusername="wxid_wnmoz2mak6xy12" tousername="53338822796@chatroom" type="2" idbuffer="media:0_0" md5="542b108319bc49bf3af750e61cd7a123" len="55935" productid="" androidmd5="542b108319bc49bf3af750e61cd7a123" androidlen="55935" s60v3md5="542b108319bc49bf3af750e61cd7a123" s60v3len="55935" s60v5md5="542b108319bc49bf3af750e61cd7a123" s60v5len="55935" cdnurl="http://vweixinf.tc.qq.com/110/20401/stodownload?m=542b108319bc49bf3af750e61cd7a123&amp;filekey=30440201010430302e02016e0402534804203534326231303833313962633439626633616637353065363163643761313233020300da7f040d00000004627466730000000132&amp;hy=SH&amp;storeid=2656c7845000606366e7e4f730000006e01004fb153482cd65b01e787fc6f4&amp;ef=1&amp;bizid=1022" designerid="" thumburl="" encrypturl="http://vweixinf.tc.qq.com/110/20402/stodownload?m=2686335bac834819258fc6007dc8a36b&amp;filekey=30440201010430302e02016e0402534804203236383633333562616338333438313932353866633630303764633861333662020300da80040d00000004627466730000000132&amp;hy=SH&amp;storeid=2656c78450006a2466e7e4f730000006e02004fb253482cd65b01e787fc709&amp;ef=2&amp;bizid=1022" aeskey="b472fffb9f644921ad65e1519c1ff584" externurl="http://vweixinf.tc.qq.com/110/20403/stodownload?m=acc30f2411dbd48c2d641ab55187349f&amp;filekey=3043020101042f302d02016e0402534804206163633330663234313164626434386332643634316162353531383733343966020229a0040d00000004627466730000000132&amp;hy=SH&amp;storeid=2656c7845000732db6e7e4f730000006e03004fb353482cd65b01e787fc718&amp;ef=3&amp;bizid=1022" externmd5="a924698f2c56ad5623ab02f993d3c9fa" width="300" height="300" tpurl="" tpauthkey="" attachedtext="" attachedtextcolor="" lensid="" emojiattr="" linkid="" desc=""></emoji></msg>,2024/8/9 17:31,耿一文,枭河,wxid_wnmoz2mak6xy12
13274,12,1,0,0,1723195915,,没想到我还有点开高中毕业资料的一天,2024/8/9 17:31,周靖博,曉akatsuki,wxid_ca93eprz4dud12
13275,12,49,57,0,1723195947,,,2024/8/9 17:32,导师,William,wxid_op28k5ozc76p22
13276,12,1,0,0,1723196504,,爱打游戏算不算特长[撇嘴],2024/8/9 17:41,王煜晖,解释很麻烦的,wxid_u2k8rtzozfaq22
13277,12,1,0,0,1723196743,,可以算[胜利],2024/8/9 17:45,导师,William,wxid_op28k5ozc76p22
13278,12,1,0,0,1723196763,,太好了,2024/8/9 17:46,耿一文,枭河,wxid_wnmoz2mak6xy12
13279,12,1,0,0,1723196774,,不然我就得空着了,2024/8/9 17:46,耿一文,枭河,wxid_wnmoz2mak6xy12
13280,12,47,0,0,1723196779,,<msg><emoji fromusername="wxid_wnmoz2mak6xy12" tousername="53338822796@chatroom" type="1" idbuffer="media:0_0" md5="81f514365265750cbe0c35b9b67f5214" len="111115" productid="" androidmd5="81f514365265750cbe0c35b9b67f5214" androidlen="111115" s60v3md5="81f514365265750cbe0c35b9b67f5214" s60v3len="111115" s60v5md5="81f514365265750cbe0c35b9b67f5214" s60v5len="111115" cdnurl="http://vweixinf.tc.qq.com/110/20401/stodownload?m=81f514365265750cbe0c35b9b67f5214&amp;filekey=30440201010430302e02016e0402534804203831663531343336353236353735306362653063333562396236376635323134020301b20b040d00000004627466730000000132&amp;hy=SH&amp;storeid=2656c783f000b186c6e7e4f730000006e01004fb153481fb7d0d156612499c&amp;ef=1&amp;bizid=1022" designerid="" thumburl="" encrypturl="http://vweixinf.tc.qq.com/110/20402/stodownload?m=c993e8b13c9a43fc1fc5f6c1b95954a0&amp;filekey=30440201010430302e02016e0402534804206339393365386231336339613433666331666335663663316239353935346130020301b210040d00000004627466730000000132&amp;hy=SH&amp;storeid=2656c783f000bc5ea6e7e4f730000006e02004fb253481fb7d0d15661249b1&amp;ef=2&amp;bizid=1022" aeskey="66dfffe0446440e2be1596d84b550797" externurl="http://vweixinf.tc.qq.com/110/20403/stodownload?m=cfd59f8d427884bf24c245d87bbe4b32&amp;filekey=3043020101042f302d02016e040253480420636664353966386434323738383462663234633234356438376262653462333202023560040d00000004627466730000000132&amp;hy=SH&amp;storeid=2656c783f000c75c76e7e4f730000006e03004fb353481fb7d0d15661249cd&amp;ef=3&amp;bizid=1022" externmd5="2457b0ce97015a2053b45206a896a33f" width="300" height="288" tpurl="" tpauthkey="" attachedtext="" attachedtextcolor="" lensid="" emojiattr="" linkid="" desc=""></emoji></msg>,2024/8/9 17:46,耿一文,枭河,wxid_wnmoz2mak6xy12
13281,12,1,0,0,1723196793,,获得荣誉:王者荣耀官方认证的荣耀王者[旺柴],2024/8/9 17:46,244210-祁子轩,履霜,wxid_q14bbmtxae3o22
